session_id,condition,timestamp,total_duration_s,chat_duration_s,trait_insp_1,trait_insp_2,trait_insp_3,trait_insp_4,travel_interest,budget_choice,activity_choice,save_choice,inspired_by_1,inspired_by_2,inspired_to_1,inspired_to_2,manip_check_1,manip_check_2,cooking_diet,cooking_time,save_choice_c,inspired_by_1c,inspired_by_2c,inspired_to_1c,inspired_to_2c,manip_check_1c,manip_check_2c,llm_experience,age,gender,gender_other,education,open_comment,cooking_interest,inspired_by,inspired_to,perceived_pers,trait_insp,save_binary,inspired_by_c,inspired_to_c,perceived_pers_c,save_binary_c,inspired_by_overall,inspired_to_overall,perceived_pers_overall,save_overall
sess_v0idg74tn,generic,2026-03-27 19:13,295.0,214.0,3,4,2,4,4,high,relaxing,no,2,2,3,2,1,1,vegetarian,quick,no,3,3,4,4,3,3,4,,female,,master,,4,2.0,2.5,1.0,3.25,0,3.0,4.0,3.0,0,2.5,3.25,2.0,0.0
sess_8y238ynmj,generic,2026-03-27 19:52,192.0,143.0,2,3,1,1,4,high,relaxing,yes,3,3,2,2,2,1,meat,quick,yes,1,1,2,2,1,4,4,,,,,,3,3.0,2.0,1.5,1.75,1,1.0,2.0,2.5,1,2.0,2.0,2.0,1.0
sess_9t2rfen7m,generic,2026-03-27 20:40,319.0,257.0,4,5,2,3,3,low,adventurous,yes,2,2,2,4,1,4,vegetarian,quick,yes,4,3,4,4,1,2,3,23.0,female,,bachelor,,4,2.0,3.0,2.5,3.5,1,3.5,4.0,1.5,1,2.75,3.5,2.0,1.0
sess_ynim8lvqt,generic,2026-03-27 21:44,160.0,122.0,3,4,3,3,4,high,relaxing,no,4,4,3,3,2,4,meat,quick,no,3,3,3,3,3,2,4,24.0,male,,master,,2,4.0,3.0,3.0,3.25,0,3.0,3.0,2.5,0,3.5,3.0,2.75,0.0
sess_yirc6ptbx,generic,2026-03-27 22:13,268.0,206.0,5,5,4,4,4,low,relaxing,yes,1,2,2,2,1,4,meat,quick,yes,1,1,1,1,1,4,1,26.0,female,,master,I do not use AI at all - if I was planning a trip or cooking a meal I would rather browse articles / recipes on the internet written by people,4,1.5,2.0,2.5,4.5,1,1.0,1.0,2.5,1,1.25,1.5,2.5,1.0
sess_7ezhkurtp,generic,2026-03-27 22:19,182.0,157.0,4,4,4,4,5,low,adventurous,yes,4,3,4,2,2,1,meat,leisurely,yes,2,2,1,2,1,1,2,22.0,male,,master,,4,3.5,3.0,1.5,4.0,1,2.0,1.5,1.0,1,2.75,2.25,1.25,1.0
sess_2v8j9q7mk,generic,2026-03-27 22:46,198.0,131.0,2,3,2,3,4,high,relaxing,no,3,3,2,2,2,2,meat,quick,no,1,1,2,2,2,2,3,21.0,male,,bachelor,,2,3.0,2.0,2.0,2.5,0,1.0,2.0,2.0,0,2.0,2.0,2.0,0.0
sess_64e9cqtfq,generic,2026-03-28 06:38,287.0,221.0,3,4,4,4,2,low,relaxing,no,2,1,2,2,1,1,vegetarian,quick,no,1,1,1,1,1,2,4,23.0,female,,secondary,,4,1.5,2.0,1.0,3.75,0,1.0,1.0,1.5,0,1.25,1.5,1.25,0.0
sess_i0obgzqlf,generic,2026-03-28 07:45,165.0,113.0,4,4,3,4,5,high,adventurous,no,2,2,2,1,2,2,meat,quick,no,1,2,1,2,2,3,3,29.0,male,,master,,2,2.0,1.5,2.0,3.75,0,1.5,1.5,2.5,0,1.75,1.5,2.25,0.0
sess_8xc1vx69h,generic,2026-03-28 11:16,337.0,262.0,4,5,4,4,4,low,adventurous,no,3,4,3,4,2,2,meat,leisurely,no,4,4,4,4,1,2,4,24.0,male,,bachelor,I found the bot's final answer all encompassing and neglectful of the things I said earlier (e.g. low price trip but recommends boutique hotel). I also know I like cooking and I'm currently hungry so maybe that inspired me more than usual ,5,3.5,3.5,2.0,4.25,0,4.0,4.0,1.5,0,3.75,3.75,1.75,0.0
sess_mm0bwxlmz,generic,2026-03-28 11:59,204.0,166.0,2,2,2,2,1,high,relaxing,yes,4,2,2,2,1,1,meat,leisurely,yes,2,2,2,2,1,1,5,24.0,female,,master,,1,3.0,2.0,1.0,2.0,1,2.0,2.0,1.0,1,2.5,2.0,1.0,1.0
sess_kvl2d3m3e,generic,2026-03-28 16:53,208.0,150.0,4,4,5,4,2,low,adventurous,yes,2,1,1,2,1,1,vegetarian,quick,no,1,1,1,1,2,1,5,22.0,male,,bachelor,,1,1.5,1.5,1.0,4.25,1,1.0,1.0,1.5,0,1.25,1.25,1.25,0.5
